time,positionX,positionY
99.0027,109.442,23.7915
100.003,109.442,23.7915
101.003,109.442,23.7915
102.003,109.443,23.7916
103.004,109.443,23.7916
104.004,109.443,23.7916
105.004,109.443,23.7916
106.004,109.443,23.7916
107.004,109.444,23.7916
108.005,109.444,23.7916
109.005,109.444,23.7916
110.005,109.444,23.7916
111.005,109.444,23.7916
112.006,109.444,23.7916
113.006,109.446,23.7916
114.006,109.446,23.7916
115.006,109.446,23.7916
116.006,109.446,23.7916
117.007,109.446,23.7916
118.007,109.447,23.7917
119.007,109.448,23.7917
120.007,109.448,23.7917
121.007,109.449,23.7918
122.008,109.45,23.7918
123.008,109.45,23.7918
124.008,109.45,23.7918
125.008,109.45,23.7918
126.009,109.452,23.7918
127.009,109.452,23.7918
128.009,109.452,23.7918
129.008,109.452,23.7918
130.008,109.452,23.7918
131.007,109.452,23.7918
132.007,109.452,23.7918
133.006,109.453,23.7919
134.006,109.453,23.7919
135.005,109.454,23.7919
136.005,109.454,23.7919
137.004,109.454,23.7919
138.003,109.454,23.7919
139.003,109.454,23.7919
140.002,109.454,23.7919
141.002,109.454,23.7919
142.001,109.455,23.792
143.001,109.455,23.792
144,109.457,23.792
145.01,109.457,23.792
146.009,109.459,23.7921
147.008,109.459,23.7921
148.008,109.459,23.7921
149.007,109.459,23.7921
150.007,109.459,23.7921
151.006,109.46,23.7921
152.006,109.46,23.7921
153.005,109.46,23.7921
154.005,109.46,23.7921
155.004,109.46,23.7921
156.004,109.461,23.7921
157.003,109.461,23.7921
158.002,109.461,23.7921
159.002,109.461,23.7921
160.001,109.461,23.7921
161.001,109.461,23.7921
162,109.461,23.7921
163.01,109.461,23.7921
164.009,109.462,23.7921
165.009,109.462,23.7921
166.008,109.462,23.7921
167.007,109.462,23.7921
168.007,109.462,23.7921
169.006,109.463,23.7921
170.006,109.464,23.7921
171.005,109.464,23.7921
172.005,109.464,23.7921
173.004,109.466,23.7922
174.004,109.466,23.7922
175.003,109.466,23.7922
176.003,109.468,23.7923
177.002,109.468,23.7923
178.001,109.469,23.7923
179.001,109.469,23.7923
180,109.469,23.7923
181.01,109.469,23.7923
182.009,109.469,23.7923
183.009,109.469,23.7923
184.008,109.469,23.7923
185.008,109.47,23.7923
186.007,109.471,23.7923
187.007,109.471,23.7923
188.006,109.471,23.7923
189.005,109.472,23.7923
190.005,109.472,23.7924
191.004,109.473,23.7923
192.004,109.473,23.7923
193.003,109.474,23.7923
194.003,109.474,23.7923
195.002,109.474,23.7923
196.002,109.475,23.7923
197.001,109.475,23.7923
198,109.475,23.7923
199.01,109.476,23.7922
200.009,109.477,23.7922
201.009,109.477,23.7922
202.008,109.478,23.7922
203.008,109.478,23.7922
204.007,109.478,23.7923
205.007,109.479,23.7923
206.006,109.479,23.7923
207.006,109.479,23.7923
208.005,109.48,23.7923
209.004,109.48,23.7923
210.004,109.481,23.7923
211.003,109.481,23.7923
212.003,109.481,23.7923
213.002,109.482,23.7924
214.002,109.483,23.7924
215.001,109.483,23.7924
216.001,109.484,23.7924
217,109.484,23.7924
218.009,109.484,23.7924
219.009,109.484,23.7924
220.008,109.484,23.7924
221.008,109.484,23.7924
222.007,109.485,23.7925
223.007,109.485,23.7925
224.006,109.486,23.7925
225.006,109.486,23.7925
226.005,109.486,23.7925
227.005,109.487,23.7925
228.004,109.487,23.7925
229.003,109.487,23.7925
230.003,109.487,23.7925
231.002,109.488,23.7925
232.002,109.488,23.7925
233.001,109.488,23.7925
234.001,109.488,23.7925
235,109.49,23.7926
236.01,109.49,23.7926
237.009,109.49,23.7926
238.008,109.49,23.7926
239.008,109.49,23.7926
240.007,109.491,23.7926
241.007,109.491,23.7926
242.006,109.491,23.7926
243.006,109.491,23.7926
244.005,109.491,23.7926
245.005,109.491,23.7926
246.004,109.491,23.7926
247.004,109.491,23.7926
248.003,109.491,23.7926
249.002,109.491,23.7926
250.002,109.492,23.7927
251.001,109.492,23.7927
252.001,109.492,23.7927
253,109.492,23.7927
254.01,109.493,23.7927
255.009,109.493,23.7927
256.009,109.493,23.7927
257.01,109.493,23.7927
258.001,109.493,23.7927
259.001,109.493,23.7927
260.002,109.494,23.7927
261.003,109.496,23.7928
262.004,109.496,23.7928
263.005,109.496,23.7928
264.006,109.496,23.7928
265.007,109.496,23.7928
266.008,109.496,23.7928
267.009,109.496,23.7928
268,109.497,23.7928
269.001,109.497,23.7928
270.002,109.497,23.7928
271.003,109.497,23.7928
272.004,109.498,23.7927
273.005,109.499,23.7928
274.006,109.499,23.7927
275.007,109.499,23.7927
276.008,109.5,23.7928
277.009,109.5,23.7927
278,109.5,23.7927
279.001,109.5,23.7927
280.002,109.5,23.7927
281.003,109.501,23.7927
282.004,109.502,23.7927
283.005,109.502,23.7927
284.006,109.502,23.7927
285.007,109.503,23.7928
286.008,109.503,23.7928
287.009,109.503,23.7928
288.01,109.504,23.7928
289.001,109.505,23.7928
290.002,109.505,23.7928
291.003,109.505,23.7928
292.004,109.506,23.7928
293.005,109.506,23.7928
294.006,109.506,23.7928
295.007,109.506,23.7928
296.008,109.506,23.7928
297.009,109.506,23.7928
298.01,109.506,23.7928
299.001,109.507,23.7928
300.001,109.507,23.7928
301.002,109.507,23.7928
302.003,109.507,23.7928
303.004,109.507,23.7928
304.005,109.508,23.7928
305.006,109.508,23.7928
306.007,109.508,23.7928
307.008,109.508,23.7928
308.009,109.508,23.7928
309,109.508,23.7928
310.001,109.508,23.7928
311.002,109.508,23.7928
312.003,109.508,23.7928
313.004,109.508,23.7928
314.005,109.508,23.7928
315.006,109.508,23.7928
316.007,109.508,23.7928
317.008,109.509,23.7928
318.009,109.509,23.7929
319,109.509,23.7929
320.001,109.509,23.7929
321.002,109.509,23.7929
322.003,109.509,23.7929
323.004,109.509,23.7929
324.005,109.509,23.7929
325.006,109.51,23.7929
326.007,109.51,23.7929
327.008,109.51,23.7929
328.009,109.51,23.7929
